"first.author","title","species","sex","age","lat","lon","study.location","study.date","tag.type","tag.mass","body.mass","forearm","body.mass.recap","date.retrieval","time.retieval","duration","landscape","emergence.firstnight","emergence.secondnight","em.both","flight.duration.firstnight","flight.duration.secondnight","fd.both","travelled.distance.firstnight","max.distance.roost.firstnight","travelled.distance.secondnight","max.distance.roost.secondnight","repository","ID.bat.tag","comment","scheduled_timeinterval_s","body.condition","rel.tag.mass","type"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2019-08-22,"ATLAS, TAU",1.2,25.5,53.3,NA,"","",NA,"farmland",16,4,16,48,46,48,8,2.9,9,1.7,"movebank, 1285310531","2321","",8,0.478424015009381,4.70588235294118,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2019-08-22,"ATLAS, TAU",1.2,24,52.8,NA,"","",NA,"farmland",68,7,68,33,54,33,9,6,17,4.6,"movebank, 1285310532","2322","",8,0.454545454545455,5,"5 to < 10 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","male","adult",53.348847,13.777486,"Dedelow Uckermark",2019-08-22,"ATLAS, TAU",1.2,26,52.8,NA,"","",NA,"farmland",16,7,16,46,59,46,10,5.1,17,5,"movebank, 1285310533","2324","",8,0.492424242424242,4.61538461538461,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","male","adult",53.348847,13.777486,"Dedelow Uckermark",2019-08-22,"ATLAS, TAU",1.2,24,53,NA,"","",NA,"farmland",16,NA,16,63,NA,63,11,5.5,NA,NA,"movebank, 1285310534","2325","",8,0.452830188679245,5,"5 to < 10 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2020-05-10,"ATLAS, TAU",1.2,30,55.4,NA,"","",NA,"farmland",-13,NA,-13,69,NA,69,16,2.2,NA,NA,"movebank, 1285310535","2327","",8,0.541516245487365,4,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2020-05-10,"ATLAS, TAU",1.2,26.5,54.7,NA,"","",NA,"farmland",-12,NA,-12,29,NA,29,10,4.7,NA,NA,"movebank, 1285310538","2330","",8,0.484460694698355,4.52830188679245,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2020-05-10,"ATLAS, TAU",1.2,29.5,NA,NA,"","",NA,"farmland",-13,NA,-13,71,NA,71,12,1.7,NA,NA,"movebank, 1285310539","2331","",8,NA,4.06779661016949,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2020-05-10,"ATLAS, TAU",1.2,25.5,53.7,NA,"","",NA,"farmland",-13,NA,-13,37,NA,37,6,1.8,NA,NA,"movebank, 1285310542","2338","",8,0.474860335195531,4.70588235294118,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2020-05-10,"ATLAS, TAU",1.2,27.5,55.4,NA,"","",NA,"farmland",-12,NA,-12,71,NA,71,10,1.7,NA,NA,"movebank, 1285310546","2346","",8,0.496389891696751,4.36363636363636,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2020-05-10,"ATLAS, TAU",1.2,30.5,55.4,NA,"","",NA,"farmland",-13,NA,-13,74,NA,74,14,3.8,NA,NA,"movebank, 1285310551","2355","",8,0.550541516245487,3.9344262295082,"< 5 %"
