date;species_german;species;number;tolerance_no;sex;age;bodymass;forearm; 5th_finger ;epiphyseal_joints;activity;testicles;epididymis;teats;ring_type;ring_no;ring_no_initially;ring_position;relatives;GPS_unit;location;box_type;box_no;type_of_occurrence_general;type_of_occurrence_special;observation_type;evidence_type;x_lim;y_lim;tolerance_xy;district;federal_state;ringer;data_unclear;comment;editing_stauts;shipment_Dresden
28.05.2020;Abendsegler;Nyctalus noctula;1;genau;;NA;;;;;;;;;eWdf.;A95500;;;;;Fledermauskastenrevier Prieros;;25;Ruhestätte;Zwischenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
27.07.2021;Rauhautfledermaus;Pipistrellus nathusii;1;genau;f;ad.;8.2;33.8;;;;;;;eWdf.;O80730;;;;;Fledermauskastenrevier Prieros;;;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
28.05.2021;Rauhautfledermaus;Pipistrellus nathusii;1;genau;f;ad.;8.2;;;;;;;;eWdf.;O80730;;;;;Fledermauskastenrevier Prieros;;;Ruhestätte;Zwischenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
03.07.2020;Rauhautfledermaus;Pipistrellus nathusii;1;genau;f;ad.;8.5;33.5;;;;;;;eWdf.;O80730;;;;;Fledermauskastenrevier Prieros;;42A;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
28.05.2020;Rauhautfledermaus;Pipistrellus nathusii;1;genau;f;ad.;10.5;33.5;;;;;;;eWdf.;O80730;;;;;Fledermauskastenrevier Prieros;;33;Ruhestätte;Zwischenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
11.07.2019;Rauhautfledermaus;Pipistrellus nathusii;1;genau;f;ad.;7.5;33.4;;;1;;;4;eWdf.;O80730;;;;;Fledermauskastenrevier Prieros;;37;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
11.07.2019;Rauhautfledermaus;Pipistrellus nathusii;1;genau;f;ad.;7.5;33.4;;;1;;;4;eWdf.;O80730;;;;;Fledermauskastenrevier Prieros;;37;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
25.04.2019;Mückenfledermaus;Pipistrellus pygmaeus;1;genau;f;NA;5.5;33.9;;;;;;;eWdf.;O80730;;;;;Fledermauskastenrevier Prieros;;;Ruhestätte;Zwischenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
15.08.2018;Abendsegler;Nyctalus noctula;1;genau;f;juv.;7;33.7;;;;;;;eWdf.;O80730;;;;;Fledermauskastenrevier Prieros;;;Ruhestätte;Zwischenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
28.05.2021;Rauhautfledermaus;Pipistrellus nathusii;1;genau;f;ad.;7.8;;;;;;;;eWdf.;O80731;;;;;Fledermauskastenrevier Prieros;;;Ruhestätte;Zwischenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
28.05.2020;Rauhautfledermaus;Pipistrellus nathusii;1;genau;f;ad.;11.5;34.8;;;;;;;eWdf.;O80731;;;;;Fledermauskastenrevier Prieros;;33;Ruhestätte;Zwischenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
11.07.2019;Rauhautfledermaus;Pipistrellus nathusii;1;genau;f;ad.;;35.3;;;1;;;4;eWdf.;O80731;;;;;Fledermauskastenrevier Prieros;;33A;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
11.07.2019;Rauhautfledermaus;Pipistrellus nathusii;1;genau;f;ad.;;35.3;;;1;;;4;eWdf.;O80731;;;;;Fledermauskastenrevier Prieros;;33A;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
28.05.2021;Rauhautfledermaus;Pipistrellus nathusii;1;genau;m;ad.;8;;;;;;;;eWdf.;O80736;;;;;Fledermauskastenrevier Prieros;;;Ruhestätte;Zwischenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
11.07.2019;Rauhautfledermaus;Pipistrellus nathusii;1;genau;m;ad.;8.6;34;;;;;;;eWdf.;O80736;;;;;Fledermauskastenrevier Prieros;;39A;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
11.07.2019;Rauhautfledermaus;Pipistrellus nathusii;1;genau;m;ad.;8.6;34;;;;;;;eWdf.;O80736;;;;;Fledermauskastenrevier Prieros;;39A;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
