first.author;title;species;sex;age;lat;lon;study.location;study.date;tag.type;tag.mass;body.mass;forearm;body.mass.recap;date.retrieval;time.retieval;duration;landscape ;emergence.firstnight;emergence.secondnight;em.both;flight.duration.firstnight;flight.duration.secondnight;fd.both;travelled.distance.firstnight;max.distance.roost.firstnight;travelled.distance.secondnight;max.distance.roost.secondnight;health.problems;repository;ID.bat/tag;comment;scheduled_timeinterval_s
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;male;adult;53.348847;13.777486;Dedelow Uckermark;22.08.2019;ATLAS, TAU;1.2;25.5;53.5;NA;;;NA;farmland;16;NA;16;61;NA;61;16;6.4;NA;NA;no;movebank, 1285310519;2298;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;22.08.2019;ATLAS, TAU;1.2;24;55.1;NA;;;NA;farmland;16;5;16;58;130;58;11;4.6;27;3.7;no;movebank, 1285310520;2299;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;22.08.2019;ATLAS, TAU;1.2;23.5;52.7;NA;;;NA;farmland;24;NA;24;25;NA;25;9;5.8;NA;NA;no;movebank, 1285310521;2300;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;male;adult;53.348847;13.777486;Dedelow Uckermark;22.08.2019;ATLAS, TAU;1.2;25;52.5;NA;;;NA;farmland;20;NA;20;46;NA;46;15;7.4;NA;NA;no;movebank, 1285310522;2303;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;male;adult;53.348847;13.777486;Dedelow Uckermark;22.08.2019;ATLAS, TAU;1.2;24;52.9;NA;;;NA;farmland;174;5;174;21;109;21;6;1.7;21;4.4;no;movebank, 1285310523;2304;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;male;adult;53.348847;13.777486;Dedelow Uckermark;22.08.2019;ATLAS, TAU;1.2;25;53.2;NA;;;NA;farmland;16;NA;16;35;NA;35;10;5;NA;NA;no;movebank, 1285310524;2306;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;22.08.2019;ATLAS, TAU;1.2;25;54.6;NA;;;NA;farmland;16;NA;16;71;NA;71;17;4;NA;NA;no;movebank, 1285310525;2308;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;22.08.2019;ATLAS, TAU;1.2;26.5;55.8;NA;;;NA;farmland;NA;5;5;NA;47;47;NA;NA;12;5.9;no;movebank, 1285310526;2309;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;male;adult;53.348847;13.777486;Dedelow Uckermark;22.08.2019;ATLAS, TAU;1.2;24.5;53.6;NA;;;NA;farmland;16;3;16;34;42;34;11;7.4;20;7;no;movebank, 1285310527;2313;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;22.08.2019;ATLAS, TAU;1.2;24.5;52.9;NA;;;NA;farmland;16;4;16;75;161;75;16;2.8;35;5;no;movebank, 1285310528;2314;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;22.08.2019;ATLAS, TAU;1.2;24;53;NA;;;NA;farmland;16;45;16;53;139;53;13;5.7;14;5;no;movebank, 1285310529;2317;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;male;adult;53.348847;13.777486;Dedelow Uckermark;22.08.2019;ATLAS, TAU;1.2;24;52.5;NA;;;NA;farmland;16;212;16;52;12;52;15;4.3;4;3.8;no;movebank, 1285310530;2320;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;22.08.2019;ATLAS, TAU;1.2;25.5;53.3;NA;;;NA;farmland;16;4;16;48;46;48;8;2.9;9;1.7;no;movebank, 1285310531;2321;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;22.08.2019;ATLAS, TAU;1.2;24;52.8;NA;;;NA;farmland;68;7;68;33;54;33;9;6;17;4.6;no;movebank, 1285310532;2322;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;male;adult;53.348847;13.777486;Dedelow Uckermark;22.08.2019;ATLAS, TAU;1.2;26;52.8;NA;;;NA;farmland;16;7;16;46;59;46;10;5.1;17;5;no;movebank, 1285310533;2324;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;male;adult;53.348847;13.777486;Dedelow Uckermark;22.08.2019;ATLAS, TAU;1.2;24;53;NA;;;NA;farmland;16;NA;16;63;NA;63;11;5.5;NA;NA;no;movebank, 1285310534;2325;;8
